Transaction_ID,Employee_ID,Worker_ID,Effective_Date,Transaction_Type,Transaction_Status,Reason_Code,Prior_Job_Profile,New_Job_Profile,Prior_Job_Level,New_Job_Level,Prior_Business_Unit,New_Business_Unit,Prior_Division,New_Division,Prior_Department,New_Department,Prior_Manager_ID,New_Manager_ID,Prior_Location,New_Location,Prior_Worker_Type,New_Worker_Type,Initiated_By,Initiated_Date,Completed_Date,Comments
JM5897612,EMP101075,WD91928972,2025-09-15,Hire,Completed,Experienced Hire,,Analyst I,,1.0,,Risk & Compliance,,Enterprise Risk,,Operational Risk,,EMP103790,,"Chicago, IL",,Temporary,HR System,2025-08-21,2025-09-15,New hire - Experienced Hire
JM3854355,EMP101528,WD16775663,2025-02-28,Termination,Completed,Voluntary - New Opportunity,Senior Analyst,,3.0,,Investment Banking,,Capital Markets,,Equity Sales,,EMP663402,,"Charlotte, NC",,Regular,,Employee,2025-01-05,2025-02-28,Voluntary - New Opportunity
JM7435363,EMP101674,WD39559548,2025-10-11,Lateral Move,Completed,Career Development,Lead Representative,Senior Analyst,3.0,3.0,Retail Banking,Risk & Compliance,Deposits & Payments,Enterprise Risk,ACH Operations,Model Risk,EMP399908,EMP399908,"Dallas, TX","Dallas, TX",Intern,Intern,HR,2025-08-31,2025-10-11,Lateral move to Risk & Compliance
JM9447129,EMP102072,WD71982854,2025-12-22,Promotion,Completed,Retention,Supervisor,Operations Manager,6.0,7.0,Risk & Compliance,Risk & Compliance,Regulatory Compliance,Regulatory Compliance,Bank Secrecy Act,Bank Secrecy Act,EMP884016,EMP884016,"Toronto, ON","Toronto, ON",Regular,Regular,Manager,2025-11-07,2025-12-22,Promotion from Level 6 to Level 7
JM3151455,EMP102114,WD28646960,2025-12-05,Hire,Completed,New Position,,Specialist I,,1.0,,Commercial Banking,,Trade Finance,,Supply Chain Finance,,EMP524758,,"Charlotte, NC",,Regular,Hiring Manager,2025-11-22,2025-12-05,New hire - Experienced Hire
JM6904597,EMP102147,WD76639201,2025-06-30,Lateral Move,Completed,Project Assignment,Lead Specialist,Principal Associate,4.0,4.0,Risk & Compliance,Commercial Banking,Regulatory Compliance,Treasury Services,Securities Compliance,Trade Operations,EMP874950,EMP874950,"Charlotte, NC","Charlotte, NC",Regular,Regular,HR,2025-05-20,2025-06-30,Lateral move to Commercial Banking
JM3284920,EMP102524,WD39216491,2025-06-07,Lateral Move,Completed,Project Assignment,Senior Analyst,Senior Associate,3.0,3.0,Retail Banking,Investment Banking,Consumer Lending,Mergers & Acquisitions,Mortgage Origination,Due Diligence,EMP973278,EMP973278,"Los Angeles, CA","Los Angeles, CA",Temporary,Temporary,Manager,2025-05-01,2025-06-07,Lateral move to Investment Banking
JM7961873,EMP102545,WD61551699,2026-01-01,Termination,Completed,Voluntary - Relocation,Analyst I,,1.0,,Retail Banking,,Deposits & Payments,,ACH Operations,,EMP359006,,"New York, NY",,Regular,,Employee,2025-11-14,2026-01-01,Voluntary - Relocation
JM2517854,EMP102666,WD11021162,2025-12-27,Promotion,Completed,Retention,Staff Specialist,Supervisor,5.0,6.0,Commercial Banking,Commercial Banking,Treasury Services,Treasury Services,Trade Operations,Trade Operations,EMP709140,EMP709140,"Boston, MA","Boston, MA",Regular,Regular,Manager,2025-11-19,2025-12-27,Promotion from Level 5 to Level 6
JM7792145,EMP102836,WD66671951,2025-09-19,Hire,Completed,Executive Recruitment,,Analyst I,,1.0,,Retail Banking,,Consumer Lending,,Auto Loans,,EMP259794,,"Chicago, IL",,Regular,Recruiter,2025-09-02,2025-09-19,New hire - Internal Referral
JM9490416,EMP102973,WD47215199,2025-09-05,Termination,Completed,Voluntary - New Opportunity,Expert,,5.0,,Retail Banking,,Consumer Lending,,Auto Loans,,EMP629640,,"Charlotte, NC",,Regular,,Employee,2025-08-20,2025-09-05,Voluntary - New Opportunity
JM8508322,EMP103038,WD87529382,2025-06-20,Hire,Completed,New Position,,Representative,,2.0,,Investment Banking,,Advisory Services,,Strategic Advisory,,EMP468983,,"New York, NY",,Regular,Recruiter,2025-06-11,2025-06-20,New hire - New Position
JM8912921,EMP103142,WD18822372,2025-03-07,Termination,Completed,Voluntary - Return to School,Associate Director,,8.0,,Commercial Banking,,Real Estate Finance,,Commercial Mortgage,,EMP975326,,"Charlotte, NC",,Regular,,Employee,2025-02-17,2025-03-07,Voluntary - Return to School
JM7785988,EMP103202,WD13948789,2025-07-13,Promotion,Completed,Succession Planning,Senior Analyst,Principal Associate,3.0,4.0,Retail Banking,Retail Banking,Branch Operations,Branch Operations,Teller Operations,Teller Operations,EMP614511,EMP614511,"Charlotte, NC","Charlotte, NC",Temporary,Temporary,Manager,2025-05-20,2025-07-13,Promotion from Level 3 to Level 4
JM3890838,EMP103314,WD95543511,2025-03-05,Promotion,Completed,Retention,Senior Analyst,Lead Analyst,3.0,4.0,Risk & Compliance,Risk & Compliance,Audit,Audit,Operational Audit,Operational Audit,EMP176074,EMP176074,"San Francisco, CA","San Francisco, CA",Regular,Regular,Manager,2025-01-17,2025-03-05,Promotion from Level 3 to Level 4
JM6243913,EMP103508,WD58478406,2025-02-19,Promotion,Completed,Performance Based,Associate I,Specialist II,1.0,2.0,Wealth Management,Wealth Management,Private Banking,Private Banking,Client Advisory,Client Advisory,EMP820533,EMP820533,"Charlotte, NC","Charlotte, NC",Regular,Regular,Manager,2025-01-12,2025-02-19,Promotion from Level 1 to Level 2
JM1896823,EMP103508,WD58478406,2025-10-28,Lateral Move,Completed,Business Need,Associate I,Analyst I,1.0,1.0,Wealth Management,Technology,Private Banking,Cybersecurity,Client Advisory,Threat Intelligence,EMP820533,EMP820533,"Charlotte, NC","Charlotte, NC",Regular,Regular,Manager,2025-09-30,2025-10-28,Lateral move to Technology
JM7731531,EMP103790,WD98332561,2025-09-06,Lateral Move,Completed,Restructuring,Branch Manager,Manager,7.0,7.0,Risk & Compliance,Retail Banking,Financial Crimes,Deposits & Payments,Fraud Detection,Payment Processing,EMP987938,EMP987938,"Charlotte, NC","Charlotte, NC",Regular,Regular,Employee,2025-08-23,2025-09-06,Lateral move to Retail Banking
JM7159140,EMP104204,WD24338304,2025-10-11,Lateral Move,Completed,Leadership Development,Associate II,Representative,2.0,2.0,Retail Banking,Commercial Banking,Deposits & Payments,Real Estate Finance,Payment Processing,Construction Lending,EMP453018,EMP453018,"Charlotte, NC","Charlotte, NC",Regular,Regular,Employee,2025-09-11,2025-10-11,Lateral move to Commercial Banking
JM8626380,EMP104400,WD39817553,2025-02-10,Hire,Completed,Campus Hire,,Specialist II,,2.0,,Commercial Banking,,Trade Finance,,Letters of Credit,,EMP623371,,"Montreal, QC",,Intern,Recruiter,2025-01-23,2025-02-10,New hire - Executive Recruitment
JM5589514,EMP104400,WD39817553,2025-06-03,Promotion,Completed,Skill Development,Specialist II,Senior Associate,2.0,3.0,Commercial Banking,Commercial Banking,Trade Finance,Trade Finance,Letters of Credit,Letters of Credit,EMP623371,EMP623371,"Montreal, QC","Montreal, QC",Intern,Intern,Manager,2025-04-17,2025-06-03,Promotion from Level 2 to Level 3
JM6172454,EMP104680,WD21159825,2025-05-10,Promotion,Completed,Performance Based,Specialist II,Senior Analyst,2.0,3.0,Investment Banking,Investment Banking,Capital Markets,Capital Markets,Research,Research,EMP647984,EMP647984,"Charlotte, NC","Charlotte, NC",Regular,Regular,Manager,2025-03-23,2025-05-10,Promotion from Level 2 to Level 3
JM2571484,EMP104680,WD21159825,2026-01-07,Lateral Move,Completed,Leadership Development,Specialist II,Representative,2.0,2.0,Investment Banking,Wealth Management,Capital Markets,Trust Services,Research,Fiduciary Services,EMP647984,EMP647984,"Charlotte, NC","Charlotte, NC",Regular,Regular,Employee,2025-11-28,2026-01-07,Lateral move to Wealth Management
JM5778063,EMP105398,WD10460418,2025-07-15,Promotion,Completed,Succession Planning,Lead Analyst,Expert,4.0,5.0,Corporate Functions,Corporate Functions,Human Resources,Human Resources,Learning & Development,Learning & Development,EMP476963,EMP476963,"San Francisco, CA","San Francisco, CA",Regular,Regular,Manager,2025-05-25,2025-07-15,Promotion from Level 4 to Level 5
JM7724226,EMP105481,WD45024283,2025-12-28,Hire,Completed,Campus Hire,,Principal Analyst,,5.0,,Investment Banking,,Structured Finance,,Securitization,,EMP314573,,"San Francisco, CA",,Regular,Hiring Manager,2025-12-06,2025-12-28,New hire - Campus Hire
JM3700678,EMP105832,WD57505434,2025-04-29,Promotion,Completed,Performance Based,Associate I,Specialist II,1.0,2.0,Technology,Technology,Cybersecurity,Cybersecurity,Security Operations,Security Operations,EMP886269,EMP886269,"Charlotte, NC","Charlotte, NC",Regular,Regular,Manager,2025-03-12,2025-04-29,Promotion from Level 1 to Level 2
JM7069830,EMP105855,WD67514166,2025-04-07,Hire,Completed,Backfill,,Associate I,,1.0,,Investment Banking,,Structured Finance,,Securitization,,EMP663804,,"Chicago, IL",,Regular,HR System,2025-03-30,2025-04-07,New hire - New Position
JM3409037,EMP105980,WD30737778,2025-12-26,Hire,Completed,Experienced Hire,,Senior Specialist,,3.0,,Investment Banking,,Mergers & Acquisitions,,Integration,,EMP197862,,"Dallas, TX",,Regular,HR System,2025-11-27,2025-12-26,New hire - New Position
JM6378724,EMP105980,WD30737778,2026-01-28,Lateral Move,Completed,Leadership Development,Senior Specialist,Senior Associate,3.0,3.0,Investment Banking,Corporate Functions,Mergers & Acquisitions,Marketing,Integration,Brand Marketing,EMP197862,EMP197862,"Dallas, TX","Dallas, TX",Regular,Regular,HR,2025-12-18,2026-01-28,Lateral move to Corporate Functions
JM9139498,EMP106044,WD93755822,2025-11-25,Lateral Move,Completed,Restructuring,Specialist I,Analyst I,1.0,1.0,Retail Banking,Risk & Compliance,Consumer Lending,Audit,Personal Loans,Internal Audit,EMP561741,EMP561741,"Charlotte, NC","Charlotte, NC",Contractor,Contractor,Manager,2025-10-17,2025-11-25,Lateral move to Risk & Compliance
JM3532293,EMP106066,WD23806692,2025-10-14,Lateral Move,Completed,Career Development,Associate II,Representative,2.0,2.0,Retail Banking,Wealth Management,Branch Operations,Asset Management,Sales,Fund Operations,EMP721939,EMP721939,"Chicago, IL","Chicago, IL",Regular,Regular,Employee,2025-08-31,2025-10-14,Lateral move to Wealth Management
JM9260532,EMP106249,WD95683573,2025-06-28,Promotion,Completed,Expanded Role,Senior Specialist,Team Lead,3.0,4.0,Corporate Functions,Corporate Functions,Marketing,Marketing,Digital Marketing,Digital Marketing,EMP942635,EMP942635,"Dallas, TX","Dallas, TX",Regular,Regular,Manager,2025-05-10,2025-06-28,Promotion from Level 3 to Level 4
JM1469230,EMP106249,WD95683573,2025-12-30,Lateral Move,Completed,Leadership Development,Senior Specialist,Senior Specialist,3.0,3.0,Corporate Functions,Commercial Banking,Marketing,Trade Finance,Digital Marketing,Documentary Collections,EMP942635,EMP942635,"Dallas, TX","Dallas, TX",Regular,Regular,Employee,2025-12-11,2025-12-30,Lateral move to Commercial Banking
JM6697245,EMP106286,WD28673499,2025-03-04,Promotion,Completed,Skill Development,Senior Specialist,Lead Analyst,3.0,4.0,Risk & Compliance,Risk & Compliance,Enterprise Risk,Enterprise Risk,Credit Risk,Credit Risk,EMP612388,EMP612388,"New York, NY","New York, NY",Regular,Regular,Manager,2025-01-07,2025-03-04,Promotion from Level 3 to Level 4
JM9762892,EMP106286,WD28673499,2025-05-19,Hire,Completed,Backfill,,Senior Specialist,,3.0,,Risk & Compliance,,Enterprise Risk,,Credit Risk,,EMP612388,,"New York, NY",,Regular,Hiring Manager,2025-05-04,2025-05-19,New hire - Backfill
JM7696790,EMP106286,WD28673499,2025-10-20,Lateral Move,Completed,Restructuring,Senior Specialist,Senior Associate,3.0,3.0,Risk & Compliance,Wealth Management,Enterprise Risk,Trust Services,Credit Risk,Trust Administration,EMP612388,EMP612388,"New York, NY","New York, NY",Regular,Regular,Employee,2025-10-03,2025-10-20,Lateral move to Wealth Management
JM9830514,EMP106459,WD67073560,2025-03-21,Promotion,Completed,Expanded Role,Operations Manager,Program Manager,7.0,8.0,Investment Banking,Investment Banking,Structured Finance,Structured Finance,Syndications,Syndications,EMP427425,EMP427425,"New York, NY","New York, NY",Regular,Regular,Manager,2025-02-14,2025-03-21,Promotion from Level 7 to Level 8
JM8390026,EMP106662,WD93710220,2025-04-21,Hire,Completed,Experienced Hire,,Associate II,,2.0,,Retail Banking,,Deposits & Payments,,ACH Operations,,EMP688686,,"Chicago, IL",,Regular,Recruiter,2025-04-02,2025-04-21,New hire - Executive Recruitment
JM7961217,EMP106662,WD93710220,2025-04-22,Lateral Move,Completed,Leadership Development,Associate II,Associate II,2.0,2.0,Retail Banking,Corporate Functions,Deposits & Payments,Human Resources,ACH Operations,Learning & Development,EMP688686,EMP688686,"Chicago, IL","Chicago, IL",Regular,Regular,HR,2025-03-20,2025-04-22,Lateral move to Corporate Functions
JM2841456,EMP106663,WD16302429,2026-01-15,Promotion,Completed,Market Adjustment,Principal Associate,Staff Specialist,4.0,5.0,Risk & Compliance,Risk & Compliance,Audit,Audit,IT Audit,IT Audit,EMP421357,EMP421357,"Denver, CO","Denver, CO",Regular,Regular,Manager,2025-12-05,2026-01-15,Promotion from Level 4 to Level 5
JM8130648,EMP106672,WD67204201,2025-11-08,Termination,Completed,Involuntary - Performance,Analyst I,,1.0,,Retail Banking,,Consumer Lending,,Auto Loans,,EMP613193,,"New York, NY",,Regular,,HR,2025-10-23,2025-11-08,Involuntary - Performance
JM4080303,EMP106759,WD33025764,2025-03-26,Promotion,Completed,Performance Based,Expert,Assistant Manager,5.0,6.0,Risk & Compliance,Risk & Compliance,Regulatory Compliance,Regulatory Compliance,Securities Compliance,Securities Compliance,EMP641764,EMP641764,"New York, NY","New York, NY",Regular,Regular,Manager,2025-02-07,2025-03-26,Promotion from Level 5 to Level 6
JM9753217,EMP106773,WD30350750,2025-06-20,Promotion,Completed,Market Adjustment,Senior Associate,Principal Associate,3.0,4.0,Investment Banking,Investment Banking,Advisory Services,Advisory Services,Industry Coverage,Industry Coverage,EMP577951,EMP577951,"San Francisco, CA","San Francisco, CA",Contractor,Contractor,Manager,2025-05-09,2025-06-20,Promotion from Level 3 to Level 4
JM5554018,EMP106773,WD30350750,2025-08-04,Lateral Move,Completed,Relocation Request,Senior Associate,Senior Associate,3.0,3.0,Investment Banking,Retail Banking,Advisory Services,Consumer Lending,Industry Coverage,Auto Loans,EMP577951,EMP577951,"San Francisco, CA","San Francisco, CA",Contractor,Contractor,Employee,2025-07-15,2025-08-04,Lateral move to Retail Banking
JM5950709,EMP106787,WD37428559,2025-03-29,Promotion,Completed,Succession Planning,Senior Analyst,Principal Associate,3.0,4.0,Investment Banking,Investment Banking,Capital Markets,Capital Markets,Derivatives,Derivatives,EMP741586,EMP741586,"New York, NY","New York, NY",Regular,Regular,Manager,2025-02-03,2025-03-29,Promotion from Level 3 to Level 4
JM3643089,EMP106854,WD37765938,2025-11-14,Termination,Completed,Involuntary - End of Contract,Coordinator,,1.0,,Risk & Compliance,,Enterprise Risk,,Credit Risk,,EMP884016,,"Charlotte, NC",,Regular,,HR,2025-10-05,2025-11-14,Involuntary - End of Contract
JM3995451,EMP106854,WD37765938,2025-12-27,Hire,Completed,Internal Referral,,Coordinator,,1.0,,Risk & Compliance,,Enterprise Risk,,Credit Risk,,EMP884016,,"Charlotte, NC",,Regular,Recruiter,2025-12-11,2025-12-27,New hire - Internal Referral
JM2399654,EMP107021,WD33218795,2025-02-23,Hire,Completed,Experienced Hire,,Coordinator,,1.0,,Risk & Compliance,,Enterprise Risk,,Model Risk,,EMP438019,,"Chicago, IL",,Regular,Recruiter,2025-02-06,2025-02-23,New hire - Internal Referral
JM9041029,EMP107247,WD95861994,2025-09-10,Termination,Completed,Voluntary - Career Change,Specialist II,,2.0,,Wealth Management,,Financial Planning,,Tax Planning,,EMP578729,,"San Francisco, CA",,Regular,,Employee,2025-08-17,2025-09-10,Voluntary - Career Change
JM2997311,EMP107337,WD55176768,2025-08-10,Lateral Move,Completed,Restructuring,Executive Director,Executive Director,9.0,9.0,Investment Banking,Commercial Banking,Mergers & Acquisitions,Trade Finance,Deal Origination,Documentary Collections,EMP888775,EMP888775,"Boston, MA","Boston, MA",Regular,Regular,HR,2025-07-24,2025-08-10,Lateral move to Commercial Banking
JM1678929,EMP107557,WD85465922,2026-01-30,Termination,Completed,Death,Staff Specialist,,5.0,,Retail Banking,,Branch Operations,,Customer Service,,EMP910479,,"Boston, MA",,Regular,,Employee,2026-01-07,2026-01-30,Death
JM3442853,EMP107817,WD94763944,2025-03-07,Promotion,Completed,Succession Planning,Operations Manager,Senior Manager,7.0,8.0,Corporate Functions,Corporate Functions,Marketing,Marketing,Digital Marketing,Digital Marketing,EMP717694,EMP717694,"New York, NY","New York, NY",Regular,Regular,Manager,2025-02-01,2025-03-07,Promotion from Level 7 to Level 8
JM8665887,EMP107817,WD94763944,2025-06-11,Lateral Move,Completed,Leadership Development,Operations Manager,Manager,7.0,7.0,Corporate Functions,Retail Banking,Marketing,Digital Banking,Digital Marketing,Mobile Banking,EMP717694,EMP717694,"New York, NY","New York, NY",Regular,Regular,HR,2025-05-28,2025-06-11,Lateral move to Retail Banking
JM9432173,EMP108351,WD23763516,2026-01-10,Promotion,Completed,Succession Planning,Analyst II,Senior Associate,2.0,3.0,Risk & Compliance,Risk & Compliance,Regulatory Compliance,Regulatory Compliance,Consumer Compliance,Consumer Compliance,EMP136326,EMP136326,"New York, NY","New York, NY",Regular,Regular,Manager,2025-12-01,2026-01-10,Promotion from Level 2 to Level 3
JM1146554,EMP108396,WD44135401,2025-06-05,Lateral Move,Completed,Business Need,Analyst II,Representative,2.0,2.0,Investment Banking,Technology,Mergers & Acquisitions,Cybersecurity,Due Diligence,Threat Intelligence,EMP168813,EMP168813,"Charlotte, NC","Charlotte, NC",Regular,Regular,Manager,2025-05-06,2025-06-05,Lateral move to Technology
JM1442508,EMP108431,WD74420196,2025-12-27,Promotion,Completed,Performance Based,Senior Associate,Team Lead,3.0,4.0,Investment Banking,Investment Banking,Structured Finance,Structured Finance,Securitization,Securitization,EMP530944,EMP530944,"Chicago, IL","Chicago, IL",Contractor,Contractor,Manager,2025-10-31,2025-12-27,Promotion from Level 3 to Level 4
JM6631144,EMP108922,WD56050058,2025-04-23,Hire,Completed,Expansion,,Associate II,,2.0,,Wealth Management,,Private Banking,,Portfolio Management,,EMP515645,,"Boston, MA",,Regular,Recruiter,2025-04-09,2025-04-23,New hire - New Position
JM2072442,EMP108922,WD56050058,2025-07-28,Promotion,Completed,Performance Based,Associate II,Senior Associate,2.0,3.0,Wealth Management,Wealth Management,Private Banking,Private Banking,Portfolio Management,Portfolio Management,EMP515645,EMP515645,"Boston, MA","Boston, MA",Regular,Regular,Manager,2025-06-15,2025-07-28,Promotion from Level 2 to Level 3
JM9419006,EMP109026,WD22525636,2025-11-19,Hire,Completed,Backfill,,Specialist I,,1.0,,Retail Banking,,Consumer Lending,,Collections,,EMP928249,,"New York, NY",,Regular,Hiring Manager,2025-10-22,2025-11-19,New hire - Executive Recruitment
JM5423709,EMP109363,WD15636254,2025-11-27,Promotion,Completed,Skill Development,Principal Analyst,Supervisor,5.0,6.0,Retail Banking,Retail Banking,Digital Banking,Digital Banking,Mobile Banking,Mobile Banking,EMP107797,EMP107797,"Charlotte, NC","Charlotte, NC",Regular,Regular,Manager,2025-10-13,2025-11-27,Promotion from Level 5 to Level 6
JM4440917,EMP109478,WD48088592,2025-04-23,Termination,Completed,Involuntary - Restructuring,Analyst I,,1.0,,Wealth Management,,Financial Planning,,Tax Planning,,EMP946575,,"New York, NY",,Regular,,HR,2025-03-29,2025-04-23,Involuntary - Restructuring
JM6566108,EMP109512,WD51386263,2025-07-02,Lateral Move,Completed,Project Assignment,Associate Director,Senior Manager,8.0,8.0,Investment Banking,Retail Banking,Mergers & Acquisitions,Deposits & Payments,Integration,ACH Operations,EMP342318,EMP342318,"San Francisco, CA","San Francisco, CA",Regular,Regular,Manager,2025-06-12,2025-07-02,Lateral move to Retail Banking
JM3980551,EMP109570,WD81436838,2025-06-30,Lateral Move,Completed,Relocation Request,Lead Representative,Senior Associate,3.0,3.0,Risk & Compliance,Commercial Banking,Audit,Real Estate Finance,SOX Compliance,Property Management,EMP779591,EMP779591,"Montreal, QC","Montreal, QC",Regular,Regular,Manager,2025-06-02,2025-06-30,Lateral move to Commercial Banking
JM3427959,EMP109570,WD81436838,2025-11-23,Promotion,Completed,Retention,Lead Representative,Lead Analyst,3.0,4.0,Risk & Compliance,Risk & Compliance,Audit,Audit,SOX Compliance,SOX Compliance,EMP779591,EMP779591,"Montreal, QC","Montreal, QC",Regular,Regular,Manager,2025-10-04,2025-11-23,Promotion from Level 3 to Level 4
JM3013280,EMP109607,WD54360459,2025-03-20,Lateral Move,Completed,Restructuring,Lead Representative,Senior Specialist,3.0,3.0,Corporate Functions,Retail Banking,Marketing,Digital Banking,Digital Marketing,Online Banking,EMP423034,EMP423034,"Dallas, TX","Dallas, TX",Regular,Regular,HR,2025-02-10,2025-03-20,Lateral move to Retail Banking
JM1028609,EMP109657,WD60987991,2025-08-04,Lateral Move,Completed,Leadership Development,Specialist I,Analyst I,1.0,1.0,Retail Banking,Risk & Compliance,Deposits & Payments,Enterprise Risk,ACH Operations,Credit Risk,EMP680168,EMP680168,"Chicago, IL","Chicago, IL",Regular,Regular,Employee,2025-07-21,2025-08-04,Lateral move to Risk & Compliance
JM4160465,EMP109705,WD24126921,2025-12-29,Hire,Completed,Backfill,,Team Lead,,4.0,,Retail Banking,,Digital Banking,,Mobile Banking,,EMP569940,,"San Francisco, CA",,Regular,Hiring Manager,2025-12-20,2025-12-29,New hire - Expansion
JM7657653,EMP109871,WD31991837,2025-02-13,Hire,Completed,Backfill,,Specialist I,,1.0,,Investment Banking,,Advisory Services,,Industry Coverage,,EMP898792,,"Phoenix, AZ",,Regular,HR System,2025-01-14,2025-02-13,New hire - Internal Referral
JM8760382,EMP109958,WD78929583,2025-02-14,Promotion,Completed,Skill Development,Lead Representative,Lead Analyst,3.0,4.0,Retail Banking,Retail Banking,Branch Operations,Branch Operations,Teller Operations,Teller Operations,EMP746072,EMP746072,"Chicago, IL","Chicago, IL",Regular,Regular,Manager,2024-12-17,2025-02-14,Promotion from Level 3 to Level 4
JM4897293,EMP109958,WD78929583,2025-08-12,Lateral Move,Completed,Career Development,Lead Representative,Senior Analyst,3.0,3.0,Retail Banking,Technology,Branch Operations,Cybersecurity,Teller Operations,Threat Intelligence,EMP746072,EMP746072,"Chicago, IL","Chicago, IL",Regular,Regular,Employee,2025-06-29,2025-08-12,Lateral move to Technology
JM5505778,EMP109958,WD78929583,2025-09-29,Hire,Completed,New Position,,Lead Representative,,3.0,,Retail Banking,,Branch Operations,,Teller Operations,,EMP746072,,"Chicago, IL",,Regular,Recruiter,2025-08-31,2025-09-29,New hire - Executive Recruitment
JM3711364,EMP110013,WD67733505,2025-06-05,Hire,Completed,Backfill,,Specialist II,,2.0,,Retail Banking,,Deposits & Payments,,Wire Transfers,,EMP700139,,"Denver, CO",,Regular,Hiring Manager,2025-05-07,2025-06-05,New hire - Internal Referral
JM1480591,EMP110013,WD67733505,2025-09-18,Promotion,Completed,Retention,Specialist II,Senior Analyst,2.0,3.0,Retail Banking,Retail Banking,Deposits & Payments,Deposits & Payments,Wire Transfers,Wire Transfers,EMP700139,EMP700139,"Denver, CO","Denver, CO",Regular,Regular,Manager,2025-08-16,2025-09-18,Promotion from Level 2 to Level 3
JM8081889,EMP110049,WD74813938,2025-04-17,Lateral Move,Completed,Restructuring,Principal Analyst,Senior Principal,5.0,5.0,Retail Banking,Investment Banking,Digital Banking,Capital Markets,Online Banking,Equity Sales,EMP876362,EMP876362,"New York, NY","New York, NY",Regular,Regular,Employee,2025-03-21,2025-04-17,Lateral move to Investment Banking
JM8782002,EMP110239,WD13239485,2025-04-07,Hire,Completed,Internal Referral,,Analyst I,,1.0,,Retail Banking,,Digital Banking,,Online Banking,,EMP985047,,"Charlotte, NC",,Contractor,HR System,2025-03-09,2025-04-07,New hire - Experienced Hire
