Position_ID,Supervisory_Organization,Effective_Date,Reason,Worker_Type,Worker_Sub_Type,Job_Profile,Job_Title,Business_Title,Time_Type,Location,Work_Space,Pay_Rate_Type,Schedule_Weekly_Hours,Scheduled_FTE,Default_Weekly_Hours,Employee_Type,shift_number,Exclude_From_Headcount
P-000012,DEPT_OPS_070,2016-02-26,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000013,DEPT_CEO_002,2016-02-19,New Position,Employee,Regular,JP_0019,Senior Financial Analyst,Senior Financial Analyst,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000014,DEPT_OPS_061,2016-02-15,New Position,Employee,Fixed Term,JP_0016,Systems Administrator,Systems Administrator,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000015,DEPT_FIN_011,2016-02-18,New Position,Employee,Regular,JP_0051,Learning & Development Specialist,Learning & Development Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000016,DEPT_TECH_017,2016-02-15,New Position,Employee,Regular,JP_0019,Senior Financial Analyst,Senior Financial Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000017,DEPT_OPS_072,2016-02-22,New Position,Employee,Regular,JP_0020,Accountant,Accountant,Full_Time,LOC_WIN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000018,DEPT_OPS_057,2016-02-21,New Position,Employee,Regular,JP_0082,Office Administrator,Office Administrator,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000019,DEPT_RISK_052,2016-02-20,New Position,Employee,Regular,JP_0057,Contract Specialist,Contract Specialist,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000020,DEPT_HR_076,2016-02-24,New Position,Employee,Fixed Term,JP_0037,Operations Analyst,Operations Analyst,Part_Time,LOC_MTL,,Salary,18.75,0.5,37.5,Fixed Term,0,0
P-000021,DEPT_MKT_113,2016-02-24,New Position,Employee,Regular,JP_0034,AML Analyst,AML Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000022,DEPT_RISK_041,2016-02-13,New Position,Contingent Worker,Contractor,JP_0049,Benefits Specialist,Benefits Specialist,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000023,DEPT_TECH_024,2016-02-16,New Position,Employee,Regular,JP_0040,Settlement Specialist,Settlement Specialist,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000024,DEPT_ADMIN_133,2016-02-15,New Position,Employee,Regular,JP_0065,Mortgage Specialist,Mortgage Specialist,Full_Time,LOC_DAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000025,DEPT_TECH_029,2016-02-13,New Position,Employee,Regular,JP_0061,Sales Associate,Sales Associate,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000026,DEPT_ADMIN_126,2016-02-13,New Position,Contingent Worker,Contractor,JP_0089,Research Analyst,Research Analyst,Full_Time,LOC_MIA,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000027,DEPT_FIN_015,2016-02-29,New Position,Employee,Fixed Term,JP_0018,Financial Analyst,Financial Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000028,DEPT_ADMIN_132,2016-02-20,New Position,Contingent Worker,Contractor,JP_0050,HRIS Analyst,HRIS Analyst,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000029,DEPT_OPS_073,2016-02-16,New Position,Employee,Regular,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_CA_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000030,DEPT_INVEST_122,2016-02-19,New Position,Employee,Regular,JP_0058,Relationship Manager,Relationship Manager,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Regular,0,0
P-000031,DEPT_SALES_098,2016-02-15,New Position,Employee,Regular,JP_0072,Content Writer,Content Writer,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000032,DEPT_RISK_052,2016-02-26,New Position,Employee,Regular,JP_0006,Cloud Architect,Cloud Architect,Full_Time,LOC_US_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000033,DEPT_RISK_043,2016-02-17,New Position,Employee,Regular,JP_0023,Treasury Analyst,Treasury Analyst,Full_Time,LOC_US_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000034,DEPT_TECH_036,2016-02-13,New Position,Employee,Regular,JP_0031,Market Risk Analyst,Market Risk Analyst,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Regular,0,0
P-000035,DEPT_OPS_066,2016-02-28,New Position,Employee,Regular,JP_0020,Accountant,Accountant,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000036,DEPT_RISK_043,2016-02-27,New Position,Employee,Regular,JP_0069,Brand Manager,Brand Manager,Part_Time,LOC_CHI,,Salary,18.75,0.5,37.5,Regular,0,0
P-000037,DEPT_LEGAL_087,2016-02-29,New Position,Employee,Regular,JP_0068,Marketing Analyst,Marketing Analyst,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000038,DEPT_TECH_021,2016-02-29,New Position,Employee,Regular,JP_0023,Treasury Analyst,Treasury Analyst,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000039,DEPT_SALES_094,2016-02-20,New Position,Employee,Regular,JP_0063,Business Development Manager,Business Development Manager,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000040,DEPT_INVEST_116,2016-02-26,New Position,Contingent Worker,Contractor,JP_0009,IT Support Specialist,IT Support Specialist,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000041,DEPT_ADMIN_132,2016-02-27,New Position,Employee,Regular,JP_0088,Investment Analyst,Investment Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000042,DEPT_RISK_042,2016-02-13,New Position,Employee,Regular,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000043,DEPT_SALES_095,2016-02-19,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000044,DEPT_HR_082,2016-02-22,New Position,Employee,Regular,JP_0084,Receptionist,Receptionist,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000045,DEPT_SALES_099,2016-02-14,New Position,Employee,Regular,JP_0013,Technical Project Manager,Technical Project Manager,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000046,DEPT_FIN_007,2016-02-26,New Position,Employee,Regular,JP_0016,Systems Administrator,Systems Administrator,Full_Time,LOC_CA_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000047,DEPT_SALES_098,2016-02-22,New Position,Employee,Regular,JP_0048,Compensation Analyst,Compensation Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000048,DEPT_RISK_050,2016-02-29,New Position,Employee,Regular,JP_0045,HR Business Partner,HR Business Partner,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000049,DEPT_HR_081,2016-02-22,New Position,Employee,Regular,JP_0092,Fund Accountant,Fund Accountant,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000050,DEPT_RISK_055,2016-02-29,New Position,Employee,Regular,JP_0092,Fund Accountant,Fund Accountant,Part_Time,LOC_CAL,,Salary,18.75,0.5,37.5,Regular,0,0
P-000051,DEPT_INVEST_125,2016-02-17,New Position,Employee,Regular,JP_0023,Treasury Analyst,Treasury Analyst,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000052,DEPT_TECH_036,2016-02-24,New Position,Employee,Regular,JP_0059,Financial Advisor,Financial Advisor,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000053,DEPT_RISK_047,2016-02-29,New Position,Employee,Regular,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000054,DEPT_ADMIN_130,2016-02-15,New Position,Employee,Regular,JP_0026,Financial Planning Analyst,Financial Planning Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000055,DEPT_TECH_026,2016-02-25,New Position,Employee,Regular,JP_0087,Portfolio Manager,Portfolio Manager,Full_Time,LOC_DAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000056,DEPT_INVEST_124,2016-02-21,New Position,Employee,Regular,JP_0093,Performance Analyst,Performance Analyst,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000057,DEPT_TECH_017,2016-02-15,New Position,Employee,Regular,JP_0024,Tax Specialist,Tax Specialist,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000058,DEPT_SALES_102,2016-02-18,New Position,Employee,Regular,JP_0070,Digital Marketing Specialist,Digital Marketing Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000059,DEPT_INVEST_114,2016-02-29,New Position,Employee,Regular,JP_0063,Business Development Manager,Business Development Manager,Full_Time,LOC_US_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000060,DEPT_OPS_069,2016-02-15,New Position,Employee,Regular,JP_0023,Treasury Analyst,Treasury Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000061,DEPT_SALES_102,2016-02-21,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_CA_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000062,DEPT_SALES_094,2016-02-18,New Position,Employee,Regular,JP_0033,Compliance Analyst,Compliance Analyst,Part_Time,LOC_TOR_HQ,,Salary,18.75,0.5,37.5,Regular,0,0
P-000063,DEPT_INVEST_122,2016-02-14,New Position,Employee,Regular,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Regular,0,0
P-000064,DEPT_TECH_021,2016-02-26,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000065,DEPT_TECH_022,2016-02-15,New Position,Employee,Regular,JP_0034,AML Analyst,AML Analyst,Part_Time,LOC_CHI,,Salary,18.75,0.5,37.5,Regular,0,0
P-000066,DEPT_INVEST_114,2016-02-22,New Position,Employee,Regular,JP_0010,Cybersecurity Analyst,Cybersecurity Analyst,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000067,DEPT_OPS_057,2016-02-20,New Position,Employee,Regular,JP_0050,HRIS Analyst,HRIS Analyst,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000068,DEPT_TECH_024,2016-02-22,New Position,Employee,Regular,JP_0028,Risk Analyst,Risk Analyst,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000069,DEPT_RISK_054,2016-02-14,New Position,Contingent Worker,Contractor,JP_0072,Content Writer,Content Writer,Part_Time,LOC_VAN,,Salary,18.75,0.5,37.5,Contractor,0,1
P-000070,DEPT_RISK_041,2016-02-28,New Position,Employee,Regular,JP_0019,Senior Financial Analyst,Senior Financial Analyst,Part_Time,LOC_TOR_HQ,,Salary,18.75,0.5,37.5,Regular,0,0
P-000071,DEPT_RISK_048,2016-02-27,New Position,Employee,Regular,JP_0081,Executive Assistant,Executive Assistant,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000072,DEPT_OPS_073,2016-02-25,New Position,Employee,Regular,JP_0019,Senior Financial Analyst,Senior Financial Analyst,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000073,DEPT_SALES_107,2016-02-15,New Position,Employee,Regular,JP_0083,Facilities Coordinator,Facilities Coordinator,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Regular,0,0
P-000074,DEPT_INVEST_114,2016-02-18,New Position,Employee,Regular,JP_0059,Financial Advisor,Financial Advisor,Part_Time,LOC_TOR_FP,,Salary,18.75,0.5,37.5,Regular,0,0
P-000075,DEPT_FIN_006,2016-02-22,New Position,Employee,Regular,JP_0039,Trade Operations Analyst,Trade Operations Analyst,Full_Time,LOC_CA_REM,,Salary,37.5,1.0,37.5,Regular,0,0
P-000076,DEPT_SALES_098,2016-02-16,New Position,Employee,Fixed Term,JP_0051,Learning & Development Specialist,Learning & Development Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000077,DEPT_OPS_057,2016-02-25,New Position,Employee,Regular,JP_0024,Tax Specialist,Tax Specialist,Full_Time,LOC_MIA,,Salary,37.5,1.0,37.5,Regular,0,0
P-000078,DEPT_FIN_007,2016-02-26,New Position,Contingent Worker,Contractor,JP_0070,Digital Marketing Specialist,Digital Marketing Specialist,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000079,DEPT_OPS_067,2016-02-19,New Position,Employee,Regular,JP_0092,Fund Accountant,Fund Accountant,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000080,DEPT_INVEST_125,2016-02-20,New Position,Employee,Regular,JP_0033,Compliance Analyst,Compliance Analyst,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000081,DEPT_OPS_059,2016-02-23,New Position,Employee,Regular,JP_0034,AML Analyst,AML Analyst,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000082,DEPT_OPS_071,2016-02-26,New Position,Employee,Regular,JP_0091,Trader,Trader,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000083,DEPT_SALES_106,2016-02-20,New Position,Contingent Worker,Contractor,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000084,DEPT_RISK_049,2016-02-14,New Position,Employee,Fixed Term,JP_0017,Business Intelligence Analyst,Business Intelligence Analyst,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000085,DEPT_TECH_024,2016-02-27,New Position,Employee,Regular,JP_0060,Investment Advisor,Investment Advisor,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000086,DEPT_CEO_001,2016-02-27,New Position,Employee,Regular,JP_0013,Technical Project Manager,Technical Project Manager,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000087,DEPT_RISK_042,2016-02-22,New Position,Employee,Regular,JP_0014,Database Administrator,Database Administrator,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000088,DEPT_OPS_074,2016-02-29,New Position,Employee,Regular,JP_0082,Office Administrator,Office Administrator,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000089,DEPT_TECH_018,2016-02-19,New Position,Employee,Regular,JP_0084,Receptionist,Receptionist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000090,DEPT_SALES_091,2016-02-23,New Position,Employee,Regular,JP_0046,Recruiter,Recruiter,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000091,DEPT_ADMIN_130,2016-02-24,New Position,Employee,Fixed Term,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000092,DEPT_HR_083,2016-02-22,New Position,Employee,Regular,JP_0043,Process Improvement Analyst,Process Improvement Analyst,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000093,DEPT_SALES_099,2016-02-14,New Position,Employee,Regular,JP_0009,IT Support Specialist,IT Support Specialist,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000094,DEPT_LEGAL_085,2016-02-21,New Position,Employee,Regular,JP_0058,Relationship Manager,Relationship Manager,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000095,DEPT_MKT_111,2016-02-18,New Position,Employee,Regular,JP_0089,Research Analyst,Research Analyst,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000096,DEPT_SALES_100,2016-02-13,New Position,Employee,Regular,JP_0040,Settlement Specialist,Settlement Specialist,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000097,DEPT_SALES_101,2016-02-24,New Position,Employee,Regular,JP_0034,AML Analyst,AML Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000098,DEPT_SALES_099,2016-02-26,New Position,Employee,Regular,JP_0066,Insurance Advisor,Insurance Advisor,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000099,DEPT_TECH_020,2016-02-15,New Position,Employee,Regular,JP_0058,Relationship Manager,Relationship Manager,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000100,DEPT_TECH_033,2016-02-22,New Position,Employee,Regular,JP_0007,DevOps Engineer,DevOps Engineer,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000101,DEPT_MKT_113,2016-02-28,New Position,Employee,Regular,JP_0070,Digital Marketing Specialist,Digital Marketing Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000102,DEPT_LEGAL_086,2016-02-24,New Position,Employee,Regular,JP_0047,Senior Recruiter,Senior Recruiter,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000103,DEPT_TECH_032,2016-02-14,New Position,Employee,Regular,JP_0021,Senior Accountant,Senior Accountant,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000104,DEPT_SALES_101,2016-02-21,New Position,Employee,Regular,JP_0002,Senior Software Engineer,Senior Software Engineer,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000105,DEPT_TECH_018,2016-02-28,New Position,Contingent Worker,Contractor,JP_0082,Office Administrator,Office Administrator,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000106,DEPT_MKT_113,2016-02-16,New Position,Employee,Regular,JP_0072,Content Writer,Content Writer,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000107,DEPT_FIN_012,2016-02-17,New Position,Employee,Regular,JP_0087,Portfolio Manager,Portfolio Manager,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000108,DEPT_OPS_071,2016-02-19,New Position,Employee,Regular,JP_0007,DevOps Engineer,DevOps Engineer,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000109,DEPT_RISK_047,2016-02-21,New Position,Contingent Worker,Contractor,JP_0021,Senior Accountant,Senior Accountant,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000110,DEPT_INVEST_117,2016-02-24,New Position,Employee,Fixed Term,JP_0084,Receptionist,Receptionist,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000111,DEPT_INVEST_117,2016-02-28,New Position,Employee,Regular,JP_0027,Accounts Payable Specialist,Accounts Payable Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000112,DEPT_MKT_110,2016-02-19,New Position,Employee,Regular,JP_0083,Facilities Coordinator,Facilities Coordinator,Full_Time,LOC_OTT,,Salary,37.5,1.0,37.5,Regular,0,0
P-000113,DEPT_FIN_007,2016-02-15,New Position,Employee,Regular,JP_0060,Investment Advisor,Investment Advisor,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000114,DEPT_SALES_094,2016-02-14,New Position,Employee,Regular,JP_0046,Recruiter,Recruiter,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000115,DEPT_INVEST_116,2016-02-16,New Position,Employee,Regular,JP_0063,Business Development Manager,Business Development Manager,Full_Time,LOC_TOR_FP,,Salary,37.5,1.0,37.5,Regular,0,0
P-000116,DEPT_FIN_006,2016-02-26,New Position,Employee,Regular,JP_0007,DevOps Engineer,DevOps Engineer,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Regular,0,0
P-000117,DEPT_RISK_045,2016-02-18,New Position,Employee,Regular,JP_0022,Controller,Controller,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000118,DEPT_TECH_038,2016-02-29,New Position,Employee,Fixed Term,JP_0040,Settlement Specialist,Settlement Specialist,Full_Time,LOC_BOS,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000119,DEPT_ADMIN_131,2016-02-15,New Position,Employee,Regular,JP_0081,Executive Assistant,Executive Assistant,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000120,DEPT_TECH_023,2016-02-29,New Position,Employee,Fixed Term,JP_0012,Product Manager - Tech,Product Manager - Tech,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000121,DEPT_SALES_093,2016-02-20,New Position,Employee,Regular,JP_0020,Accountant,Accountant,Full_Time,LOC_CAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000122,DEPT_HR_083,2016-02-29,New Position,Employee,Regular,JP_0019,Senior Financial Analyst,Senior Financial Analyst,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000123,DEPT_TECH_036,2016-02-17,New Position,Employee,Regular,JP_0041,Client Services Representative,Client Services Representative,Full_Time,LOC_CHI,,Salary,37.5,1.0,37.5,Regular,0,0
P-000124,DEPT_CEO_003,2016-02-14,New Position,Employee,Fixed Term,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_US_REM,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000125,DEPT_INVEST_122,2016-02-13,New Position,Employee,Regular,JP_0093,Performance Analyst,Performance Analyst,Full_Time,LOC_NYC,,Salary,37.5,1.0,37.5,Regular,0,0
P-000126,DEPT_OPS_075,2016-02-22,New Position,Employee,Fixed Term,JP_0052,Employee Relations Specialist,Employee Relations Specialist,Full_Time,LOC_OTT,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000127,DEPT_OPS_070,2016-02-20,New Position,Employee,Regular,JP_0083,Facilities Coordinator,Facilities Coordinator,Full_Time,LOC_VAN,,Salary,37.5,1.0,37.5,Regular,0,0
P-000128,DEPT_ADMIN_127,2016-02-22,New Position,Employee,Regular,JP_0064,Private Banker,Private Banker,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000129,DEPT_INVEST_121,2016-02-28,New Position,Employee,Regular,JP_0071,Communications Specialist,Communications Specialist,Full_Time,LOC_MTL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000130,DEPT_TECH_030,2016-02-22,New Position,Employee,Regular,JP_0030,Credit Risk Analyst,Credit Risk Analyst,Full_Time,LOC_HAL,,Salary,37.5,1.0,37.5,Regular,0,0
P-000131,DEPT_OPS_074,2016-02-19,New Position,Employee,Regular,JP_0019,Senior Financial Analyst,Senior Financial Analyst,Full_Time,LOC_OTT,,Salary,37.5,1.0,37.5,Regular,0,0
P-000132,DEPT_ADMIN_128,2016-02-27,New Position,Employee,Regular,JP_0042,Operations Manager,Operations Manager,Part_Time,LOC_TOR_FP,,Salary,18.75,0.5,37.5,Regular,0,0
P-000133,DEPT_OPS_062,2016-02-22,New Position,Employee,Regular,JP_0049,Benefits Specialist,Benefits Specialist,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Regular,0,0
P-000134,DEPT_TECH_029,2016-02-15,New Position,Employee,Fixed Term,JP_0042,Operations Manager,Operations Manager,Full_Time,LOC_DAL,,Salary,37.5,1.0,37.5,Fixed Term,0,0
P-000135,DEPT_MKT_109,2016-02-14,New Position,Contingent Worker,Contractor,JP_0029,Senior Risk Analyst,Senior Risk Analyst,Full_Time,LOC_TOR_HQ,,Salary,37.5,1.0,37.5,Contractor,0,1
P-000136,DEPT_RISK_054,2016-02-21,New Position,Employee,Regular,JP_0031,Market Risk Analyst,Market Risk Analyst,Full_Time,LOC_US_REM,,Salary,37.5,1.0,37.5,Regular,0,0
