Job_Classification_ID,Job_Classification_WID,Job_Classification_Name,Job_Classification_Group_ID,Job_Classification_Group_Name,Job_Profile_ID
JCL_0039,2a2d66a7f96c22dc80a4198773048d4d,Data Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0004
JCL_0040,6e3d478f2efd0234a6a3a0719fa03460,Data Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0004
JCL_0041,0d309d4a0be5caef54a826e7ee97cbe5,Data Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0004
JCL_0042,13ab6134fb8541bf7048327dd720e2fc,Data Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0004
JCL_0043,812bf45ce74c23a5d515014d3610e5f1,Data Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0004
JCL_0044,580929f9e465eb96bb00a8a98b1e809e,Data Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0004
JCL_0045,557d5fbcd98ee60d0fd9d58224749734,Data Scientist - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0005
JCL_0046,820232c01a0e75ae6fcc4abec7abb82f,Data Scientist - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0005
JCL_0047,3173e87471ab301a066288212dba8387,Data Scientist - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0005
JCL_0048,4fe68dd07a612e20604d1d708eb68109,Data Scientist - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0005
JCL_0049,82c90bbf3202bc65ba23f0706caa0ce2,Data Scientist - Job Collection,JCL_GRP_COLL,Job Collection,JP_0005
JCL_0050,641a8e461d4bc1fbd9168724cafb2721,Data Scientist - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0005
JCL_0051,1ad23e342a05c2280ac8c8094f6bc66e,Data Scientist - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0005
JCL_0052,f67e2362632a38b2d133f7be6b1f839a,Data Scientist - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0005
JCL_0053,d5a747ae0464ecd22f7ca3e7715f73d5,Data Scientist - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0005
JCL_0054,8b43f8c630b891a95bf363ad2bcee3ec,Data Scientist - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0005
JCL_0055,a74322c523acad980698cd3bea515692,Data Scientist - Stock,JCL_GRP_STOCK,Stock,JP_0005
JCL_0056,d1da558a96b5500d87c69a4946fe0866,Cloud Architect - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0006
JCL_0057,808df0c9320f7a3f6f32fdf04cad51cf,Cloud Architect - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0006
JCL_0058,2734b7e15455d776c8be22a1c5148075,Cloud Architect - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0006
JCL_0059,53a65bedbbc4ecd431bdbfd14b510b21,Cloud Architect - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0006
JCL_0060,da6383b045a58f42a32cd4eb20fa5c0b,Cloud Architect - Job Collection,JCL_GRP_COLL,Job Collection,JP_0006
JCL_0061,dc94791e934c438e44e8349f84dfd33c,Cloud Architect - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0006
JCL_0062,54d01ccbb264c83cd314f58554ed2d84,Cloud Architect - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0006
JCL_0063,8860e9fe6b85a415cfe2eda74b45d0f5,Cloud Architect - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0006
JCL_0064,ef582ca20bd1d8514db4cc94576f0b9c,Cloud Architect - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0006
JCL_0065,5389ff817f2a76788f842900e43d4eac,Cloud Architect - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0006
JCL_0066,626aa08e0887f9a146bec45d66865890,Cloud Architect - Stock,JCL_GRP_STOCK,Stock,JP_0006
JCL_0067,aa0cfa9617b5a70431d0a82bafb506cd,DevOps Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0007
JCL_0068,8d50bcad20205aaba968171439d7a11a,DevOps Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0007
JCL_0069,7dfdffafaf2ba101442ad97564658f0d,DevOps Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0007
JCL_0070,09940ad425003a3ced54f3090ea7433e,DevOps Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0007
JCL_0071,ab163c46da674249e5d749ae3beea98f,DevOps Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0007
JCL_0072,15cbadbd20f93eb27a1a23dcbf4a45c0,DevOps Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0007
JCL_0073,5ef31a4028019058728c5e31ad3c1643,DevOps Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0007
JCL_0074,6c3daadf08ec599a25e3d7f0a20884d5,DevOps Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0007
JCL_0075,8133ed39bdaf9ec7adf82c9cfe457a9b,DevOps Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0007
JCL_0076,04ea53993db7801a9d7140d616f050aa,DevOps Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0007
JCL_0077,49bc3629c80a7db9043f3c29a3dd2302,DevOps Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0007
JCL_0078,11f6541788229474f7433f53781988bb,QA Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0008
JCL_0079,3277be8d44b775a4b894566757bb23ac,QA Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0008
JCL_0080,2bfc5977100c420a09cc9eacca122661,QA Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0008
JCL_0081,9af7d8c85340df3757d9cfede6c8f9dd,QA Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0008
JCL_0082,e8ead7310a0a6536a70cb5a8ba0a0a14,QA Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0008
JCL_0083,a5ff1fbd1d33812a3e08616336f37fc0,QA Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0008
JCL_0084,d4fa69ffa1553d401a3532041a495120,QA Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0008
JCL_0085,11a97112d3b19bb0f89b12a9352e2278,QA Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0008
JCL_0086,ac686b5ca7d9515dfb77b37cfdebc3aa,QA Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0008
JCL_0087,270a6e502a80a8052b8ef91cf2948469,QA Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0008
JCL_0088,f13ccf31a51aa65701a902d8201c97d1,QA Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0008
JCL_0089,f820e94f50938a587fa1be695db479b4,IT Support Specialist - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0009
JCL_0090,cb363b51b87a54ad01bebbfc3bc0318c,IT Support Specialist - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0009
JCL_0091,8688f729539ea713ffca48af5c92afdd,IT Support Specialist - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0009
JCL_0092,4653c896ac67fb92f3a06d4ebeee69f9,IT Support Specialist - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0009
JCL_0093,7e9adfe133c7365bbf1709bc2b7b372a,IT Support Specialist - Job Collection,JCL_GRP_COLL,Job Collection,JP_0009
JCL_0094,3112fefe7e075a11bde8cbf4a94e3fdb,IT Support Specialist - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0009
JCL_0095,a37e8ba69b7c1d88b1323e6675779236,IT Support Specialist - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0009
JCL_0096,41e32997dce2e664835013b2e86812a3,IT Support Specialist - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0009
JCL_0097,282c8e320664078ec15cd8bc8a7af1ba,IT Support Specialist - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0009
JCL_0098,e65d30bc1031da6c9938b753dee56e29,IT Support Specialist - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0009
JCL_0099,53a4849b540108ff358c9972092ea081,IT Support Specialist - Stock,JCL_GRP_STOCK,Stock,JP_0009
JCL_0100,1dd9f74015e3b2340c52156520c255f9,Cybersecurity Analyst - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0010
JCL_0101,930891fa8fdd5b97044757497ded6091,Cybersecurity Analyst - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0010
JCL_0102,a1a9d8f3cb4a391543706864aaa1c77a,Cybersecurity Analyst - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0010
JCL_0103,4db1c08969c8bc216c5e8c6cc2218aea,Cybersecurity Analyst - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0010
JCL_0104,b713f61b46d5cd906ceca53d56582c34,Cybersecurity Analyst - Job Collection,JCL_GRP_COLL,Job Collection,JP_0010
JCL_0105,4e36a99eb50b163d934f3d3eeb42f92b,Cybersecurity Analyst - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0010
JCL_0106,9e0f4925cbfde8da6f2183d387058f5d,Cybersecurity Analyst - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0010
JCL_0107,e5af4655b1fb33c6bbfd5be4a1ed9e65,Cybersecurity Analyst - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0010
JCL_0108,b1903d109de09f508e9fa33fe4c49074,Cybersecurity Analyst - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0010
JCL_0109,16f8df2c2aa6a2f8047d9ea6653507e1,Cybersecurity Analyst - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0010
JCL_0110,e73fa5c6a368374a623cda187dee542d,Cybersecurity Analyst - Stock,JCL_GRP_STOCK,Stock,JP_0010
JCL_0111,f41fbc2fc4f14ca80008298dd563c1b2,Solutions Architect - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0011
JCL_0112,98e2dfcc1ec4cfe90333b9f008413368,Solutions Architect - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0011
JCL_0113,3ca1f3a57a4094d1c2d44ae94fb395a6,Solutions Architect - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0011
JCL_0114,05ca52df72d16bece6aeed3fc8004e47,Solutions Architect - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0011
JCL_0115,86c410f32f5b2bd44fc71d738c302895,Solutions Architect - Job Collection,JCL_GRP_COLL,Job Collection,JP_0011
JCL_0116,bce513ea962e76f0f8e6fd494cfd0e18,Solutions Architect - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0011
JCL_0117,de261f8c9b14aebb5d1765e742925575,Solutions Architect - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0011
JCL_0118,093e6249176df0e2a123b31f794a3b65,Solutions Architect - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0011
JCL_0119,02f9890899db35ab25758450ac140b92,Solutions Architect - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0011
JCL_0120,4d8c0870bb1607cd611c4df003550913,Solutions Architect - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0011
JCL_0121,1f3922da7d5102257bca885029bbd7b6,Solutions Architect - Stock,JCL_GRP_STOCK,Stock,JP_0011
JCL_0122,2958072589c88c0fc9735cb2d16ef7bd,Product Manager - Tech - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0012
JCL_0123,80e2ba00acc2c355098bf419972556c2,Product Manager - Tech - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0012
JCL_0124,be6f770b7495b84d7ce2b4f48705b7d1,Product Manager - Tech - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0012
JCL_0125,6bdad463c7036982b4149c2a998a7114,Product Manager - Tech - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0012
JCL_0126,29ad746c5a4f5b4ecb63da9ab40fa3d5,Product Manager - Tech - Job Collection,JCL_GRP_COLL,Job Collection,JP_0012
JCL_0127,fb9dae555adfebc08f074a13b96be4ab,Product Manager - Tech - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0012
JCL_0128,0bb3f354f10455a296ee11183f872967,Product Manager - Tech - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0012
JCL_0129,3c720db3a60743bf56c04cccfaa92138,Product Manager - Tech - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0012
JCL_0130,2b253ba0bc03f925bdcd9d3a952b7675,Product Manager - Tech - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0012
JCL_0131,ba9ba797e0a02f68bcc302afe77fb5c1,Product Manager - Tech - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0012
JCL_0132,fb8a6665c216d6aac0640f1380005a26,Product Manager - Tech - Stock,JCL_GRP_STOCK,Stock,JP_0012
JCL_0133,a9edc4782ce9ac2d214d924a408f5948,Technical Project Manager - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0013
JCL_0134,f9ef8aa965cfbb4b6ed527a10fe934a2,Technical Project Manager - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0013
JCL_0135,757c692dd3d6044a424b1a167014e400,Technical Project Manager - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0013
JCL_0136,e536032262f501977dd171624f921496,Technical Project Manager - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0013
JCL_0137,589c4cf7c70c128df5d19e52f9519eb5,Technical Project Manager - Job Collection,JCL_GRP_COLL,Job Collection,JP_0013
JCL_0138,fb247bc7400bdab573fc109dc97455a6,Technical Project Manager - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0013
JCL_0139,732b472c08dae19917cbbf679f4c2386,Technical Project Manager - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0013
JCL_0140,358fbde01c0b4fedf4355be4c0719a77,Technical Project Manager - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0013
JCL_0141,28a446a797d0d8d22f5b55cce0c97f3e,Technical Project Manager - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0013
JCL_0142,af1fe012a5924542374cc8a7d35ae7de,Technical Project Manager - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0013
JCL_0143,2d8cb949373dc289561005dc8336fbd3,Technical Project Manager - Stock,JCL_GRP_STOCK,Stock,JP_0013
JCL_0144,b6ed119782d78f2f6400ff1e6b537258,Database Administrator - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0014
JCL_0145,33176a2c2eb893763e9b763fcfdf57c4,Database Administrator - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0014
JCL_0146,62cadd4a1ed73f7326db9358698d23e5,Database Administrator - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0014
JCL_0147,96491c63e53e685bb0afff1af4954886,Database Administrator - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0014
JCL_0148,84b77934bf1b160d5887e23691fd054b,Database Administrator - Job Collection,JCL_GRP_COLL,Job Collection,JP_0014
JCL_0149,2bd37bd9ecbe03078c5d739ea833ef03,Database Administrator - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0014
JCL_0150,c15e3151d7ea6e751429fa77cebcb028,Database Administrator - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0014
JCL_0151,e13791d2e46c97226c279fc6d0659580,Database Administrator - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0014
JCL_0152,76f106d57931a4f2cf572c7f1b3ef9bf,Database Administrator - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0014
JCL_0153,9ecc0530e9e3a34b75298230a7d101cb,Database Administrator - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0014
JCL_0154,827c945698d642a9dbe495919ff20335,Database Administrator - Stock,JCL_GRP_STOCK,Stock,JP_0014
JCL_0155,2eebbdbc9c1e479991e18e30f29a8ffc,Network Engineer - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0015
JCL_0156,7d0b9cf9a5b41fd50af5856cdf7f096a,Network Engineer - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0015
JCL_0157,655138f4127b1dcd85be9fbb76053a8a,Network Engineer - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0015
JCL_0158,287e699f665d0463b28790e1562339a8,Network Engineer - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0015
JCL_0159,7def709d9684b9b3f0f704ee8bfa536a,Network Engineer - Job Collection,JCL_GRP_COLL,Job Collection,JP_0015
JCL_0160,e928da2c7cf596491b174e9c3496c369,Network Engineer - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0015
JCL_0161,61fe6242b694f14a4e8687f78d2a692e,Network Engineer - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0015
JCL_0162,44cb83ce02d3b75c031e27f0e49ffdad,Network Engineer - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0015
JCL_0163,d0a463f3a3ef4ac6ca63a75abc9575f7,Network Engineer - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0015
JCL_0164,936bc7a7d4fa7fcb7c351537bbe0d7fc,Network Engineer - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0015
JCL_0165,f276c9e338b0e19736f0d3adab27e146,Network Engineer - Stock,JCL_GRP_STOCK,Stock,JP_0015
JCL_0166,4de6e6ca85107a9dad708370dd0bf0ab,Systems Administrator - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0016
JCL_0167,848051745c9800eb6a5889ca3dd9bdfd,Systems Administrator - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0016
JCL_0168,be3e25a2173adbed1a4202f9223910f7,Systems Administrator - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0016
JCL_0169,763e5af1d1d57e747f13f55dec29ec1a,Systems Administrator - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0016
JCL_0170,41b5aaf92bdb037d2e358b43872bf46c,Systems Administrator - Job Collection,JCL_GRP_COLL,Job Collection,JP_0016
JCL_0171,a2fd2eec1dba18d7fd7015633110e698,Systems Administrator - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0016
JCL_0172,49f661f4137ec440ea5fb543fbb298c1,Systems Administrator - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0016
JCL_0173,fe752e42cd5c8361317c012d4f7498e1,Systems Administrator - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0016
JCL_0174,937bbc0ed004f85a711925d05f5ccb0f,Systems Administrator - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0016
JCL_0175,5faf2c23957ed01d1ab74e9e87b782c0,Systems Administrator - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0016
JCL_0176,a918caef91b2424e99fc06a92b478887,Systems Administrator - Stock,JCL_GRP_STOCK,Stock,JP_0016
JCL_0177,c11dc082447ee6f37f82a3e422035cb0,Business Intelligence Analyst - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0017
JCL_0178,78773926d83d543ef7420a93320afce0,Business Intelligence Analyst - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0017
JCL_0179,8ad3efe82b1ef76c99c0b0f07a06584f,Business Intelligence Analyst - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0017
JCL_0180,bb4c13140f32dc9511b360fd9d54011a,Business Intelligence Analyst - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0017
JCL_0181,3160114f8e450adf65fb7393c0a9b748,Business Intelligence Analyst - Job Collection,JCL_GRP_COLL,Job Collection,JP_0017
JCL_0182,d75c8293816a657d59ba5c77c4b440bc,Business Intelligence Analyst - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0017
JCL_0183,40f737037751a29eaf66d7d03190e9f5,Business Intelligence Analyst - National Occupation Code,JCL_GRP_NOC,National Occupation Code,JP_0017
JCL_0184,ed302e785b1a57085ea56d41bbfaf8a6,Business Intelligence Analyst - Occupation Code,JCL_GRP_OCC,Occupation Code,JP_0017
JCL_0185,ee1bbb096234c3341876300b5f8e36f2,Business Intelligence Analyst - Recruitment Channel,JCL_GRP_RECR,Recruitment Channel,JP_0017
JCL_0186,b0a2258b25a641a0d62801154a238a21,Business Intelligence Analyst - Standard Occupation Code,JCL_GRP_SOC,Standard Occupation Code,JP_0017
JCL_0187,31bdfb2cda2caf9dc940b5080ae3d66d,Business Intelligence Analyst - Stock,JCL_GRP_STOCK,Stock,JP_0017
JCL_0188,e0e06f01915f385817e471fdaeb915ad,Financial Analyst - AAP Job Group,JCL_GRP_AAP,AAP Job Group,JP_0018
JCL_0189,8d0b95ad324e3eb14763dcdd1b6a8501,Financial Analyst - Bonus Eligibility,JCL_GRP_BONUS,Bonus Eligibility,JP_0018
JCL_0190,5f662950affb1f2990a3e502d5c41ce3,Financial Analyst - Customer Facing,JCL_GRP_CUST,Customer Facing,JP_0018
JCL_0191,bde269f76c59104ef525b07f22e3041f,Financial Analyst - EEO1 Code,JCL_GRP_EEO1,EEO1 Code,JP_0018
JCL_0192,6f3d3a26326a55520ec41f29adb2e557,Financial Analyst - Job Collection,JCL_GRP_COLL,Job Collection,JP_0018
JCL_0193,febbd9faf19473d48851933fe47bec20,Financial Analyst - Loan Originator Code,JCL_GRP_LOAN,Loan Originator Code,JP_0018
